"Guid","CurrencyIsoCode","Name","SBQQ__Action__c","SBQQ__Active__c","SBQQ__BrandButton__c","SBQQ__Class__c","SBQQ__ConditionsMet__c","SBQQ__Default__c","SBQQ__Description__c","SBQQ__DisplayOrder__c","SBQQ__EventHandlerName__c","SBQQ__IconClass__c","SBQQ__Icon__c","SBQQ__Label__c","SBQQ__Location__c","SBQQ__PageHandlerName__c","SBQQ__Page__c","SBQQ__ParentCustomAction__c","SBQQ__ReturnURL__c","SBQQ__TargetObject__c","SBQQ__Type__c","SBQQ__URLTarget__c","SBQQ__URL__c"
0338030f-b1aa-43c7-bd69-676796d4d63e,USD,Add To Favorites,Add To Favorites,true,false,addToFavBtn,All,false,"#N/A",990.0,onAddToFavorites,sb-icon-star-empty,star-empty,Add To Favorites,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
04a7c241-66e3-405c-9473-237e2f8ce3cb,USD,Reset Discounts - Quote,Reset Discounts,true,false,resetDiscBtn,All,false,"#N/A",909.0,onResetDiscounts,sf-icon-undo,undo,Reset Discounts,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
051fc64b-220d-4dac-8a3d-dace8be26e1c,USD,Create Order,Create Order,true,false,"#N/A",All,false,"#N/A",942.0,"#N/A","#N/A","#N/A",Create Order,Opportunity Panel,GenerateOrder,Opportunity Detail,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
05dd29b0-35e1-4e57-981d-404893a7de88,USD,Edit Order Products,Edit Order Products,true,false,"#N/A",All,false,"#N/A",950.0,"#N/A","#N/A","#N/A",Edit Order Products,Order Panel,OrderLineSelector,Order Detail,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
12998935-bfb8-48ef-9fdd-8a9572ddb820,USD,Desegment Line,Desegment Line,true,false,desegmentBtn,All,false,"#N/A",995.0,onDesegmentLine,sf-icon-magicwand,magicwand,Desegment Line,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
15900800-f8b8-4ec7-91ba-d6fc41acf462,USD,Test,"#N/A",false,false,"#N/A",All,false,"#N/A",1.0,"#N/A","#N/A","#N/A",Add Products,"#N/A","#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
1aedfa91-d9ec-4141-a010-fc39709bd7e5,USD,Preview Approvals,"#N/A",true,false,"#N/A",All,false,"#N/A",917.0,"#N/A","#N/A","#N/A",Preview Approvals,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,Popup,/apex/sbaa__PreviewApprovals?id={!Id}&isdtp=vw&hideSubmit=1
21d6f52c-a0ab-458d-8f3c-ac93b9b24dc6,USD,Calculate,Calculate,true,false,calculateBtn,All,false,"#N/A",913.0,onFlagCalculate,"#N/A","#N/A",Calculate,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
24cd82eb-c07a-4171-9da2-ac72ad7bb8a0,USD,Clone Line,Clone Line,true,false,cloneBtn,All,false,"#N/A",993.0,onCloneLine,sf-icon-copy,copy,Clone Line,Line,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
2561c9a6-0a83-4f2b-9765-5ef887f9f382,USD,Quick Save,Quick Save,true,false,quickSaveBtn,All,false,"#N/A",906.0,onQuickSave,"#N/A","#N/A",Quick Save,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A","#N/A",Button,"#N/A","#N/A"
