"Guid","CurrencyIsoCode","Name","SBQQ__ConfigurationAttributes__c","SBQQ__DiscountSchedule__c","SBQQ__DynamicOptionId__c","SBQQ__Favorite__c","SBQQ__ProductOption__c","SBQQ__Product__c","SBQQ__Quantity__c","SBQQ__RequiredBy__c"
0049b929-4fae-48ec-8928-49c728b167c6,USD,Silver Support,"{""Storage__c"":""false"",""Linux__c"":""false"",""Mac__c"":""false"",""Protected_Devices__c"":""400.0""}","#N/A",a0c3h000001qOxUAAU,5517aff1-b2f7-4c78-a4f7-5a8febe3f6dc,ffd97078-70da-4fb7-adb9-6c3eaf6426fb,407fc8ba-5e66-41bb-9c0d-edf341b9f382,1.0,2d49140f-a091-4f70-a7b0-006d07bb4d65
007fd2e1-01d5-4505-b12d-267e865ee903,USD,Threat Intelligence Exchange,"{""Storage__c"":""false"",""Linux__c"":""false"",""Mac__c"":""false"",""Protected_Devices__c"":""240.0""}","#N/A",a0c3h000001qOxSAAU,d9106575-cf95-46b4-aa1b-f164dca6c060,84ea0abe-0108-472c-8708-acdf885ac795,e1052d7a-669c-4b70-b14f-6d9264213fdd,1.0,077963a3-b552-4724-af90-314ba508d2bc
00fefeb1-b20a-4682-bb2f-34d25e5beb87,USD,Data Control Manager (MDQ),"#N/A","#N/A","#N/A",ffda76ee-3d33-4847-803e-e142c7afc49f,"#N/A",8daca1b1-9cac-4312-b0b8-8da423334d5d,1.0,"#N/A"
01517851-b022-441d-aeda-290b796fa5f2,USD,Data Control Manager (MDQ),"#N/A","#N/A","#N/A",ffda76ee-3d33-4847-803e-e142c7afc49f,"#N/A",8daca1b1-9cac-4312-b0b8-8da423334d5d,1.0,"#N/A"
018ad10a-e39a-42c0-80d2-6b3eb8523724,USD,Threat Intelligence Exchange,"{""Storage__c"":""false"",""Linux__c"":""false"",""Mac__c"":""false"",""Protected_Devices__c"":null}","#N/A",a0c3h000001qOxSAAU,3b581e3c-5576-43f1-a3a5-f2954956f993,84ea0abe-0108-472c-8708-acdf885ac795,e1052d7a-669c-4b70-b14f-6d9264213fdd,1.0,7207b220-d932-4a2e-94bd-91ef5b37dde3
0190ce35-707d-4838-b8d9-141e5b8a07be,USD,Data Control Manager (MDQ),"#N/A","#N/A","#N/A",ffda76ee-3d33-4847-803e-e142c7afc49f,"#N/A",8daca1b1-9cac-4312-b0b8-8da423334d5d,1.0,"#N/A"
01a28d1e-49c3-42c4-8792-1359475632a6,USD,DLP Endpoint,{},"#N/A",a0c3h000001qOxXAAU,ffda76ee-3d33-4847-803e-e142c7afc49f,38d99db2-f4c4-48df-b918-c458e942a1d8,b5129943-2e41-49a7-abc1-08481d290ba0,1.0,1b1aafd3-b8b9-4691-8ec5-66e029106a9f
01fe9547-7215-4bdc-a3ab-bd2c8a3e9018,USD,Data Control Manager,{},"#N/A",a0c3h000001qOxQAAU,13ff584f-cd92-486d-bed8-b798b530dc5f,469c264d-98f4-4866-b615-9e836a9ec763,2f7a9af7-50ff-4a65-875d-e3a7f4226227,1.0,39965b6e-995c-460f-b6aa-73994c4af065
0206426d-5d11-4e66-902e-e3266d004162,USD,Embedded Control,"{""Storage__c"":""false"",""Linux__c"":""false"",""Mac__c"":""false"",""Protected_Devices__c"":""10000.0""}","#N/A",a0c3h000001qOxPAAU,58226530-1bce-4158-966d-acf8a989386d,8751b112-9ce9-4e2c-a2b8-3109e2a317d4,30b2099d-55b1-433d-96c5-0e3916f7814e,200.0,f1a21f62-17f0-4080-8214-3635f994a0bc
02148f08-f823-4d8e-b5b3-beac9109f201,USD,Threat Intelligence Reporting Tools,"{""Storage__c"":""false"",""Linux__c"":""false"",""Mac__c"":""false"",""Protected_Devices__c"":""500.0""}","#N/A",a0c3h000001qOxSAAU,13ff584f-cd92-486d-bed8-b798b530dc5f,1f4254e7-cc45-44ab-a1b9-39cd7a884d7e,6a965800-e740-4990-86fe-b6974c9f6327,1.0,fbf133d6-e86d-4325-9158-18271789de28
02203064-f04e-4165-ad62-cdab513c775d,USD,Change Control,"{""Storage__c"":""false"",""Linux__c"":""false"",""Mac__c"":""false"",""Protected_Devices__c"":""500.0""}","#N/A",a0c3h000001qOxRAAU,048a0d58-9bf2-43ae-a4fc-c22a11568a63,572d4d06-d4a3-43f5-9a42-01c62b621415,de904e11-828a-41cc-a6d8-8c934672ced4,1.0,64676b0d-d487-47dd-83f0-45c29262c7a4
