"Guid","CurrencyIsoCode","Name","SBQQ__MethodName__c","SBQQ__Version__c"
07c005eb-4407-42c3-9f02-03ae9acb1427,USD,a0N3h0000018X8I,SBQQ.BatchablePluginTranspileUtil,224.9
0ef7d406-e997-4fca-a442-17c86ce2622f,USD,a0N3h0000018X8E,viewPricingGuidanceLineAction,224.9
185ad56b-c854-4c11-bc11-63792593c1b7,USD,a0N3h0000017NRu,createCustomActionsOnQLE,26.16
1c311e74-c24c-4b7b-890d-acb8f45e8668,USD,a0N3h000000wOIU,SBQQ.InstallProcessorBatchThemeGenerator,226.8
274b0cf7-45c0-4b7d-a602-8a1e6e97428f,USD,a0N3h000000wOI5,SBQQ.InstallProcessorBatchRegularPrice,226.8
2ca39b31-3053-4d39-b48a-f5b6dd89b60b,USD,a0N3h0000018XBA,SBQQ.CustomActionRefFieldGenerator,224.9
2cd79936-a336-42dd-ba17-ea5e0f2ce11e,USD,a0N3h0000018X8h,SBQQ.ReferencedFieldRemover,224.9
2ec1d399-e109-4278-8199-a4efdd70031b,USD,a0N3h000000wOIo,SBQQ.SummaryVarRefFieldGenerator,226.8
3be44a6c-4225-4387-bf6b-dc3655ba590f,USD,a0N3h0000018X8X,SBQQ.InstallProcessorBatchRequiredByAsset,224.9
3de8cdb9-4531-4ca5-afd2-013682c710a4,USD,a0N3h000000wOJT,SBQQ.RootIdSetterChildAssets,226.8
3e5a60a1-cf2c-4a0e-809b-de5b410f1ff2,USD,a0N3h000000wOIe,SBQQ.ReferencedFieldRemover,226.8
44763d64-68a3-4c1e-8247-8d70a4e82808,USD,a0N3h000000wOJD,SBQQ.BatchableConfigAttrReferencedFieldUtil,226.8
4a5946c5-ca5d-463b-9c38-32a14294d179,USD,a0N3h0000018XBF,SBQQ.ProductRefFieldGenerator,224.9
53edc37b-6a27-4392-bb16-0ab5cad61dc4,USD,a0N3h000000wOIK,SBQQ.InstallProcessorBatchLocalizationIndex,226.8
5834c7f0-299c-4322-8505-02b60f4840e7,USD,a0N3h0000018X8F,createConfiguratorEditRulesAction,224.9
5d99f48f-463b-49f0-acbb-15346b3d890c,USD,a0N3h000000wOIZ,SBQQ.InstallProcessorBatchAssetCombineKey,226.8
636d717a-aaf7-47c0-bfce-43fa6b68f0af,USD,a0N3h0000017NRv,createCommunityDetailPageActions2,26.16
