"Guid","CurrencyIsoCode","Name","SBQQ__Active__c","SBQQ__CheckPriorPurchases__c","SBQQ__ConfiguredSKU__c","SBQQ__ConstrainedOption__c","SBQQ__ConstrainingOption__c","SBQQ__OptionConstraintGroup__c","SBQQ__Type__c"
0b40dcfb-bdb8-465a-8d95-852293afb1bf,USD,Choose Threat Bundle or Nothing,true,false,99f36127-6c8f-4ccc-b9ea-97bab290bef1,36988f8e-74f1-4c4e-bf04-dfb21158a473,6057d394-7f2a-4892-9be1-876bb588b848,EndSolution,Exclusion
0fb8bc56-e5be-4b09-9942-731ff75752f0,USD,Contrain Endpoint SubOptions,true,false,da0e5622-6c9a-4548-8ce1-ef9fe8ebf5de,fead7810-ac25-44b4-9c38-6b0d4b5a0373,8751b112-9ce9-4e2c-a2b8-3109e2a317d4,EndPThreat,Dependency
1638b9ca-0185-40db-85c8-f4cff1a0f332,USD,Contrain Endpoint SubOptions,true,false,99f36127-6c8f-4ccc-b9ea-97bab290bef1,c3ce7e8e-3e98-40ec-90e8-fe7289f01cc8,c8e075a1-19d7-4eec-bb2a-2e1cbe220648,EndPThreat,Dependency
2fe704c1-5504-4a78-b4c0-d48e1fee3020,USD,Choose Threat Bundle or Nothing,true,false,da0e5622-6c9a-4548-8ce1-ef9fe8ebf5de,fead7810-ac25-44b4-9c38-6b0d4b5a0373,277d0360-885f-40b5-a41f-d4993a951e19,EndSolution,Exclusion
391d69a2-e2ae-461b-ba0d-9f203bbc7f79,USD,Contrain Endpoint SubOptions,true,false,da0e5622-6c9a-4548-8ce1-ef9fe8ebf5de,277d0360-885f-40b5-a41f-d4993a951e19,8751b112-9ce9-4e2c-a2b8-3109e2a317d4,EndPThreat,Dependency
42bf7fa2-87fe-4d8b-86bf-520f7e8e6487,USD,Contrain Endpoint SubOptions,true,false,da0e5622-6c9a-4548-8ce1-ef9fe8ebf5de,ed834d6e-d184-4863-a3b4-578a49695b37,8751b112-9ce9-4e2c-a2b8-3109e2a317d4,EndPThreat,Dependency
692d112f-da5f-4844-b87b-1917474c72ff,USD,Block and Unlimited Exclusion,true,false,240b6896-ed41-4537-9814-97fdff94d435,8aceaa5b-412f-48ab-9ec9-e221350f1fca,f5fd7e3c-df16-40de-9048-fd87f7a74f26,"#N/A",Exclusion
6b76803f-9168-4076-9849-60ac781d88d3,USD,Choose Threat Bundle or Nothing,true,false,da0e5622-6c9a-4548-8ce1-ef9fe8ebf5de,ed834d6e-d184-4863-a3b4-578a49695b37,277d0360-885f-40b5-a41f-d4993a951e19,EndSolution,Exclusion
7dedb924-5286-47ec-9fe3-a4ab015d79a4,USD,Contrain Endpoint SubOptions,true,false,99f36127-6c8f-4ccc-b9ea-97bab290bef1,6057d394-7f2a-4892-9be1-876bb588b848,c8e075a1-19d7-4eec-bb2a-2e1cbe220648,EndPThreat,Dependency
8d38cc71-f592-4a1b-8045-ad5fe7257d51,USD,Defense / Response Sold as Bundle,true,false,da0e5622-6c9a-4548-8ce1-ef9fe8ebf5de,fead7810-ac25-44b4-9c38-6b0d4b5a0373,ed834d6e-d184-4863-a3b4-578a49695b37,"#N/A",Exclusion
a4f20704-0add-43cf-aa98-fc9e58381690,USD,Reporting User Training Needs Admin Training,true,false,240b6896-ed41-4537-9814-97fdff94d435,4ef98fb8-4f71-48cc-bc3b-06497a0d5e9a,17364e94-051d-4af3-9108-4563feac2c60,"#N/A",Dependency
b625dcf3-b274-4b0e-841a-1c377d68b306,USD,Needs bolt down kit,true,false,5bff035a-8034-4fbe-894c-29779f9619c1,df5f3100-59f6-422e-9aae-179c61f92f94,1edf9710-f6f7-4227-ba13-095473555f4d,"#N/A",Dependency
bac3be39-f199-4d39-933e-09a33aae3cb8,USD,Choose Threat Bundle or Nothing,true,false,99f36127-6c8f-4ccc-b9ea-97bab290bef1,c3ce7e8e-3e98-40ec-90e8-fe7289f01cc8,6057d394-7f2a-4892-9be1-876bb588b848,EndSolution,Exclusion
cf647cd0-968c-46b2-8521-a5ff1827fb79,USD,Contrain Endpoint SubOptions,true,false,99f36127-6c8f-4ccc-b9ea-97bab290bef1,36988f8e-74f1-4c4e-bf04-dfb21158a473,c8e075a1-19d7-4eec-bb2a-2e1cbe220648,EndPThreat,Dependency
db7fca61-dc6b-41e5-a034-361a128b39d2,USD,User Training Needs Admin Training,true,false,240b6896-ed41-4537-9814-97fdff94d435,3d109d0b-bd79-46c8-8bd0-a5b69575fdfa,17364e94-051d-4af3-9108-4563feac2c60,"#N/A",Dependency
fd1c32d2-1c13-400a-9b75-cd1f81244cf9,USD,Defense / Response Sold as Bundle,true,false,99f36127-6c8f-4ccc-b9ea-97bab290bef1,c3ce7e8e-3e98-40ec-90e8-fe7289f01cc8,36988f8e-74f1-4c4e-bf04-dfb21158a473,"#N/A",Exclusion
