"Guid","CurrencyIsoCode","Name","SBQQ__Description__c","SBQQ__LowerBound__c","SBQQ__OrderItemConsumptionSchedule__c","SBQQ__Price__c","SBQQ__PricingMethod__c","SBQQ__ProcessingOrder__c","SBQQ__UpperBound__c"
00196007-a499-4438-bc6a-ff0646b4cc54,USD,R-000003,"#N/A",21.0,9eab14db-0a35-4c9b-b0a9-240264765f18,120.0,PerUnit,3.0,51.0
00358967-4878-4e1b-a7d3-533b6d3fd260,USD,R-000002,"#N/A",11.0,3ccae6ab-d2a1-41e7-a0b7-31a16f4ff794,135.0,PerUnit,2.0,21.0
004bc2e6-759c-47cd-bc9e-ac7c19af0cbd,USD,R-000004,"#N/A",51.0,a883493b-c51f-4963-ba75-618e16ec3cdd,105.0,PerUnit,4.0,101.0
006cd930-77ba-4ca7-83d3-3ca21225ae05,USD,R-000002,"#N/A",11.0,898e8eb0-7e2e-40fd-8fd8-24523f309375,135.0,PerUnit,2.0,21.0
00986b8b-219f-45c2-a03e-4f37064e431b,USD,R-000004,"#N/A",51.0,6f140aba-a27f-41bc-b9d3-256720f47147,105.0,PerUnit,4.0,101.0
009b1d56-c76b-4d25-890e-b265da240d31,USD,R-000004,"#N/A",51.0,a02e50d6-0c02-444f-adb3-b0c3ae57fc79,105.0,PerUnit,4.0,101.0
00aeb0cf-4b6b-468b-a22a-0786cde59721,USD,R-000002,"#N/A",11.0,4b82e874-7577-49bd-9e4a-a0480899b98a,135.0,PerUnit,2.0,21.0
00baeb2d-182d-461b-bc2b-00eca9c5b0a8,USD,R-000005,"#N/A",101.0,1f1da16a-d6ff-4981-9cd8-085ed0e7c9a9,100.0,PerUnit,5.0,"#N/A"
01158c26-81a1-479f-9335-b62597c226e2,USD,R-000005,"#N/A",101.0,99efcaf8-5303-42d4-bbd4-66ad355b4289,100.0,PerUnit,5.0,"#N/A"
01263b72-9d33-491b-a14c-373e129f7a7f,USD,R-000001,"#N/A",1.0,44e0b5cc-f825-42e6-8144-6aa72e0e3726,150.0,PerUnit,1.0,11.0
01728d96-c058-40a6-a037-1283433bd471,USD,R-000005,"#N/A",101.0,e713b76b-c023-48ff-b755-738208c72aa7,100.0,PerUnit,5.0,"#N/A"
01a9b9a0-e325-4ed5-9e52-1ec62e2e7fbc,USD,R-000006,"#N/A",0.0,8b3a01db-a096-4eef-a11d-4cf20869daaa,45000.0,PerUnit,1.0,3.0
01c28a6d-b19a-4f15-9a65-44d524de1090,USD,R-000002,"#N/A",11.0,9e6e9aaa-26ee-43c3-a0dc-2290062a1842,135.0,PerUnit,2.0,21.0
01ddc82c-e308-4247-8937-b5676b70bbf1,USD,R-000003,"#N/A",21.0,b3d7f6c4-8474-4515-9524-fb8848dab3e9,120.0,PerUnit,3.0,51.0
01ee871e-bad6-42e0-b9da-50445b2d105e,USD,R-000005,"#N/A",101.0,7dc75007-e4be-4a3d-91dc-225691afc5cd,100.0,PerUnit,5.0,"#N/A"
01f60967-c9d6-4497-88a4-da8499f72408,USD,R-000001,"#N/A",1.0,421e2df1-5a70-43c2-bd30-1fcbc0249798,150.0,PerUnit,1.0,11.0
01f7d662-e497-4f0d-b597-f6f07d7f52bc,USD,R-000002,"#N/A",11.0,f4d8d9b5-fc99-4a9e-a6af-f335254e32a1,135.0,PerUnit,2.0,21.0
