"Guid","CurrencyIsoCode","Name","SBQQ__AggregationScope__c","SBQQ__ConstraintField__c","SBQQ__CrossOrders__c","SBQQ__CrossProducts__c","SBQQ__Description__c","SBQQ__DiscountUnit__c","SBQQ__ExcludedPricebookIds__c","SBQQ__IncludeBundledProducts__c","SBQQ__OriginalDiscountSchedule__c","SBQQ__OverrideBehavior__c","SBQQ__PriceScale__c","SBQQ__PriceType__c","SBQQ__Pricebook__c","SBQQ__Product__c","SBQQ__QuoteLineQuantityField__c","SBQQ__QuoteLine__c","SBQQ__Quote__c","SBQQ__TermDiscount__c","SBQQ__UsePriceForAmount__c","SBQQ__UserDefined__c"
000938a4-1d95-47f1-883b-a8cd0e3be0bc,USD,a0W3h0000003HHH,"#N/A","#N/A",false,false,"#N/A",Percent,"#N/A",false,"#N/A","#N/A",2.0,Volume,86a63f21-ba05-457f-afd1-aefb10607603,5ee69626-8707-4db0-93d4-ceb3cfd7c000,Quantity,"#N/A","#N/A","#N/A",false,false
000e7483-e9cc-4f8a-a309-ff877e6dead3,USD,Network Penetration Tests,Quote,"#N/A",false,false,"#N/A",Percent,"#N/A",false,e199aa9d-42c5-4e9b-9ce8-17dff410c5a5,All,2.0,Tiered,"#N/A",5e6498ee-3bd0-41d7-b336-3031a647f55b,Quantity,"#N/A","#N/A","#N/A",false,false
001aa72f-762c-4e63-abe0-5a45f87e2771,USD,a0W3h0000003Guv,"#N/A","#N/A",false,false,"#N/A",Percent,"#N/A",false,"#N/A","#N/A",2.0,Volume,86a63f21-ba05-457f-afd1-aefb10607603,30b2099d-55b1-433d-96c5-0e3916f7814e,Quantity,"#N/A","#N/A","#N/A",false,false
002502ae-af65-4d60-a5da-fd45b074801c,USD,a0W3h0000003Grx,"#N/A","#N/A",false,false,"#N/A",Percent,"#N/A",false,"#N/A","#N/A",2.0,Volume,86a63f21-ba05-457f-afd1-aefb10607603,03614e34-adc8-473c-88d6-b6d2f79f3cd1,Quantity,"#N/A","#N/A","#N/A",false,false
0026e7f7-4610-4935-9403-f57765455c8f,USD,a0W3h0000003GFJ,"#N/A","#N/A",false,false,"#N/A",Percent,"#N/A",false,"#N/A","#N/A",2.0,Volume,86a63f21-ba05-457f-afd1-aefb10607603,b5129943-2e41-49a7-abc1-08481d290ba0,Quantity,"#N/A","#N/A","#N/A",false,false
00299d5e-bccb-4bd7-9b92-ca493cd0a90c,USD,a0W3h0000003HQY,"#N/A","#N/A",false,false,"#N/A",Percent,"#N/A",false,"#N/A","#N/A",2.0,Volume,86a63f21-ba05-457f-afd1-aefb10607603,407fc8ba-5e66-41bb-9c0d-edf341b9f382,Quantity,"#N/A","#N/A","#N/A",false,false
002e6dd4-06a6-4975-b7b2-cd0aaf9082aa,USD,a0W3h0000003FeT,"#N/A","#N/A",false,false,"#N/A",Percent,"#N/A",false,"#N/A","#N/A",2.0,Volume,86a63f21-ba05-457f-afd1-aefb10607603,edb6756e-e42d-43ec-ba57-2f8d3daf1c82,Quantity,"#N/A","#N/A","#N/A",false,false
00331cdb-c6ca-44ae-947e-ce44f9368885,USD,a0W3h0000003GgH,"#N/A","#N/A",false,false,"#N/A",Percent,"#N/A",false,"#N/A","#N/A",2.0,Volume,86a63f21-ba05-457f-afd1-aefb10607603,407fc8ba-5e66-41bb-9c0d-edf341b9f382,Quantity,"#N/A","#N/A","#N/A",false,false
0039fe49-e99b-4ca5-94a3-cc8f64a8e738,USD,Intelligence Network Monitoring Tiers,Quote,"#N/A",false,false,"#N/A",Percent,"#N/A",false,e199aa9d-42c5-4e9b-9ce8-17dff410c5a5,All,2.0,Volume,86a63f21-ba05-457f-afd1-aefb10607603,5e6498ee-3bd0-41d7-b336-3031a647f55b,Quantity,"#N/A","#N/A","#N/A",false,false
003e7fab-79f4-4172-9d9a-e2b2b46e3755,USD,a0W3h0000003GWP,"#N/A","#N/A",false,false,"#N/A",Percent,"#N/A",false,"#N/A","#N/A",2.0,Volume,86a63f21-ba05-457f-afd1-aefb10607603,03614e34-adc8-473c-88d6-b6d2f79f3cd1,Quantity,"#N/A","#N/A","#N/A",false,false
