"Guid","CurrencyIsoCode","Name","SBQQ__DiscountAmount__c","SBQQ__DiscountPercentage__c","SBQQ__LowerBound__c","SBQQ__Number__c","SBQQ__OriginalBlockPrice__c","SBQQ__OriginalDiscountTier__c","SBQQ__PriceModel__c","SBQQ__PriceSchedule__c","SBQQ__Price__c","SBQQ__TermDiscount__c","SBQQ__UpperBound__c","SBQQ__VolumnDiscount__c"
000251df-bfea-48a0-b843-5538d0b78394,USD,"Tier [1,  )","#N/A","#N/A",1.0,0.0,"#N/A","#N/A",Per Unit,95581e0f-c448-4dec-ba25-86d7b7dc088f,17500.0,"#N/A","#N/A","#N/A"
0002f8d5-6f84-46e2-beba-d6289ee9fb87,USD,"Tier [1,  )","#N/A","#N/A",1.0,0.0,"#N/A","#N/A",Per Unit,0f0538b5-5695-4091-813b-b13a51f1b8e7,10260.0,600.0,"#N/A","#N/A"
0007f9ad-1600-4888-9d1b-d72280ab6801,USD,250 to 500,"#N/A",10.0,250.0,1.0,"#N/A",acf3a7dc-f43d-44df-97d9-1fe8bdda9bf5,Per Unit,d6761886-e7f4-473a-9593-f3fbfa619841,89.1,"#N/A",501.0,9.9
000c94e7-5b66-4bca-8612-bbd610f1ccd1,USD,"Tier [1,  )","#N/A","#N/A",1.0,0.0,"#N/A","#N/A",Per Unit,974760a3-bd2f-47fa-98e4-c39ec9e4ea41,5000.0,"#N/A","#N/A","#N/A"
001ba285-4107-415a-bfd0-b3b773a672c9,USD,"Tier [1,  )","#N/A","#N/A",1.0,0.0,"#N/A","#N/A",Per Unit,b9358ab5-1251-4356-a198-49859d1e7080,8000.0,"#N/A","#N/A","#N/A"
0021751c-64a8-4d88-befe-eeed52902aa8,USD,1001 to 2000,"#N/A",66.0,1001.0,3.0,"#N/A",ebaba46a-c3d2-46d2-ab85-cbabe2f432eb,Per Unit,9f136736-14f9-4739-b553-fc702420c3d3,33.66,"#N/A",2001.0,65.34
0022b3d8-776f-44f3-942c-4d095ec67723,USD,"Tier [1,  )","#N/A","#N/A",1.0,0.0,"#N/A","#N/A",Per Unit,14b067ec-c9e1-42ba-881d-f13c75a114f7,250.0,"#N/A","#N/A","#N/A"
002386a2-e36e-4902-b341-2ebd187ffe67,USD,"Tier [1,  )","#N/A","#N/A",1.0,0.0,"#N/A","#N/A",Per Unit,44f1d87f-af5a-49fa-b6af-7b22e90fb3ce,0.0,"#N/A","#N/A","#N/A"
0023be9c-e6bc-421c-983a-efcddad2bfee,USD,2001+,"#N/A",70.0,2001.0,4.0,"#N/A",03b1599c-13ca-4197-9cc1-d43e0b5692c3,Per Unit,b4ed43b3-4654-4538-94ea-b4c2dfedb4c2,29.7,"#N/A","#N/A",69.3
0027eae4-03e1-4ff9-ba22-bf837e56bb91,USD,1001 to 2000,"#N/A",66.0,1001.0,3.0,"#N/A",ebaba46a-c3d2-46d2-ab85-cbabe2f432eb,Per Unit,c676c508-ffb9-4523-8417-54279128aec3,33.66,"#N/A",2001.0,65.34
002ba8e1-4631-43d7-9ca9-fffd6e134d96,USD,Tier 2,0.0,0.0,2.0,1.0,"#N/A",4f97975f-71bc-42fd-9e64-f7fa4cb4df4e,Per Unit,290bb2fb-9ed4-4002-96ca-f5467d8b7c24,0.15,"#N/A","#N/A",0.0
002c8c91-9826-4f12-9e9c-700a471f5333,USD,Included,0.0,100.0,0.0,0.0,"#N/A",d8630718-9283-448c-948f-65538a7deaa1,Per Unit,078a1b80-1d80-42e8-83cb-3d231621754b,0.0,"#N/A",1000.0,1.0
002d8f67-0f6c-46fa-b08d-bfca02e992b1,USD,"Tier [1,  )","#N/A","#N/A",1.0,0.0,"#N/A","#N/A",Per Unit,38cf3fff-0b4f-4e6a-a34d-8193a8515b80,5000.0,"#N/A","#N/A","#N/A"
002ef770-7926-4b1a-824e-c016419f5604,USD,Tier 3,"#N/A",20.0,5000.0,3.0,"#N/A",fbae8164-f76f-4a95-9d4e-b869be509353,Per Unit,62682406-ff79-4361-9939-ff7c32141079,0.8,"#N/A",10000.0,0.2
003066a9-98f3-42cc-8730-23a681ed53d1,USD,Tier 1,0.0,100.0,0.0,0.0,"#N/A",d8630718-9283-448c-948f-65538a7deaa1,Per Unit,e4485c5f-88a1-45c8-849c-eced20d2d1ba,0.0,"#N/A",2.0,0.15
00321b05-1b72-4644-9ea3-c32f4afcfb20,USD,"Tier [1,  )","#N/A","#N/A",1.0,0.0,"#N/A","#N/A",Per Unit,ce9c405e-5753-4f7d-bea1-df823830c670,8000.0,"#N/A","#N/A","#N/A"
0036a467-3ce1-4bd2-99bf-7ad5334d21ef,USD,Included,0.0,100.0,0.0,0.0,"#N/A",d8630718-9283-448c-948f-65538a7deaa1,Per Unit,38973ee6-b7ee-41be-967f-16ad0a3f0017,0.0,"#N/A",1000.0,1.0
0036e431-5a2c-4dbb-8fbe-c581d3ebec0c,USD,"Tier [1,  )","#N/A","#N/A",1.0,0.0,"#N/A","#N/A",Per Unit,063030df-5f45-4a42-bc81-0598ce071652,5000.0,"#N/A","#N/A","#N/A"
003a30cc-abc5-4b67-a330-0dd5facf5aa2,USD,"Tier [1,  )","#N/A","#N/A",1.0,0.0,"#N/A","#N/A",Per Unit,e9023c6f-5188-4a53-9e06-d4ed41dc41bc,100.0,"#N/A","#N/A","#N/A"
003d05d6-7be3-4e4a-8c9a-fecc134a876d,USD,Tier 1,0.0,0.0,1000.0,1.0,"#N/A",4f97975f-71bc-42fd-9e64-f7fa4cb4df4e,Per Unit,9fdd6c68-bbce-496c-ae0c-1ed1606f1dc0,1.0,"#N/A",2000.0,0.0
