"Guid","Audit_Concern__c","Commercial_Segment__c","CurrencyIsoCode","Environment__c","Imp_Options__c","Name","Num_of_Data_Centers__c","Num_of_Devices__c","Number_of_Employees__c","Pen_Test_Level__c","Risk_Assessment_Type__c","SBQQ__Active__c","SBQQ__BinaryChoice__c","SBQQ__ConditionsMet__c","SBQQ__DefaultField__c","SBQQ__DisplayOrder__c","SBQQ__InputField__c","SBQQ__IntegerInput__c","SBQQ__Label__c","SBQQ__Operator__c","SBQQ__ProcessInputCondition__c","SBQQ__ProductField__c","SBQQ__QuoteProcess__c","Server_Type__c","Service_Type__c","Yes_or_No__c"
02cf713a-9c9c-4f13-80aa-8c95c6bf0f64,"#N/A","#N/A",USD,"#N/A","#N/A",What type of environment do you want to test?,"#N/A","#N/A","#N/A","#N/A","#N/A",true,"#N/A",All,"#N/A",3.0,Environment__c,"#N/A",What type of environment do you want to test?,"#N/A","#N/A","#N/A",7f12156a-6552-49c5-a046-26427f5ee404,"#N/A","#N/A","#N/A"
0e1c2cf1-69a9-4ab1-8044-82984de04d3e,"#N/A","#N/A",USD,"#N/A","#N/A",Is Security Information & Event Management required as part of the solution?,"#N/A","#N/A","#N/A","#N/A","#N/A",true,"#N/A",All,"#N/A",3.0,Yes_or_No__c,"#N/A",Is Security Information & Event Management required as part of the solution?,"#N/A","#N/A","#N/A",7f12156a-6552-49c5-a046-26427f5ee404,"#N/A","#N/A","#N/A"
386e73f3-5005-4517-ad1a-c56ec8d7b669,"#N/A","#N/A",USD,"#N/A","#N/A",Num of Data Centers Pen Test,"#N/A","#N/A","#N/A","#N/A","#N/A",true,"#N/A",All,"#N/A",4.0,Num_of_Data_Centers__c,"#N/A",How many data centers do you have?,"#N/A","#N/A","#N/A",7f12156a-6552-49c5-a046-26427f5ee404,"#N/A","#N/A","#N/A"
5a924da1-7c8f-4827-b96c-3946f5265e0c,"#N/A",Enterprise,USD,"#N/A",Include Professional Services,Number of Employees,"#N/A",240.0,"#N/A","#N/A","#N/A",true,"#N/A",All,"#N/A",3.0,Number_of_Employees__c,"#N/A",Number of Employees,"#N/A","#N/A","#N/A",7f12156a-6552-49c5-a046-26427f5ee404,"#N/A",End to End Solution,Yes
6a54c1f0-a28f-4de3-bc12-c59cf54af3f6,"#N/A","#N/A",USD,"#N/A","#N/A",Num of Data Centers Vulnerability,"#N/A","#N/A","#N/A","#N/A","#N/A",true,"#N/A",All,"#N/A",4.0,Num_of_Data_Centers__c,"#N/A",Num of Data Centers Vulnerability,"#N/A","#N/A","#N/A",7f12156a-6552-49c5-a046-26427f5ee404,"#N/A","#N/A","#N/A"
71eab359-c2b4-4154-b16b-ec3b6d6a8dce,"#N/A","#N/A",USD,"#N/A","#N/A",Implementation Options,"#N/A","#N/A","#N/A","#N/A","#N/A",true,"#N/A",All,"#N/A",4.0,Imp_Options__c,"#N/A",Implementation Options,"#N/A","#N/A","#N/A",7f12156a-6552-49c5-a046-26427f5ee404,"#N/A","#N/A","#N/A"
8275de25-8fa9-4375-8ea5-630329195145,"#N/A","#N/A",USD,"#N/A","#N/A",Risk Assessment Options,"#N/A","#N/A","#N/A","#N/A","#N/A",true,"#N/A",All,"#N/A",2.0,Risk_Assessment_Type__c,"#N/A",Risk Assessment Options,"#N/A","#N/A","#N/A",7f12156a-6552-49c5-a046-26427f5ee404,"#N/A","#N/A","#N/A"
92259a4a-c4df-4ba2-897d-b1fef2f3d26d,"#N/A","#N/A",USD,"#N/A","#N/A",What is the main audit concern,"#N/A","#N/A","#N/A","#N/A","#N/A",true,"#N/A",All,"#N/A",3.0,Audit_Concern__c,"#N/A",What is the main audit concern,"#N/A","#N/A","#N/A",7f12156a-6552-49c5-a046-26427f5ee404,"#N/A","#N/A","#N/A"
a8df7b8f-1023-42a0-842e-436eabeeb27c,"#N/A","#N/A",USD,"#N/A","#N/A",Commercial Segment,"#N/A","#N/A","#N/A","#N/A","#N/A",true,"#N/A",All,"#N/A",5.0,Commercial_Segment__c,"#N/A",Commercial Segment,"#N/A","#N/A","#N/A",7f12156a-6552-49c5-a046-26427f5ee404,"#N/A","#N/A","#N/A"
c047f834-b2c1-408a-9cab-7a74498da371,"#N/A",Enterprise,USD,"#N/A",Include Professional Services,What server type?,"#N/A",240.0,"#N/A","#N/A","#N/A",true,"#N/A",All,"#N/A",2.0,Server_Type__c,"#N/A",What server type?,"#N/A","#N/A","#N/A",7f12156a-6552-49c5-a046-26427f5ee404,"#N/A",End to End Solution,Yes
