"Guid","CurrencyIsoCode","Name","SBQQDS__EnvelopeId__c","SBQQDS__ErrorMessage__c","SBQQDS__SenderURL__c","SBQQDS__SignedDate__c","SBQQDS__VoidedReason__c","SBQQ__AttachmentId__c","SBQQ__CustomerAmount__c","SBQQ__DocumentId__c","SBQQ__ElectronicSignature__c","SBQQ__Key__c","SBQQ__ListAmount__c","SBQQ__NetAmount__c","SBQQ__OutputFormat__c","SBQQ__PaperSize__c","SBQQ__QuoteTemplate__c","SBQQ__Quote__c","SBQQ__SignatureStatus__c","SBQQ__Template__c","SBQQ__Version__c"
02e5adbd-7ee1-4937-a4d6-3ff8b7bd8101,USD,Q-10715-20190513-1637,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",330000.0,0153h000001A8mlAAC,false,a0l1I00000CRVmPQAX_5,357080.0,330000.0,PDF,Default,3517d51e-2266-473d-aa4a-0e0e95c5513d,4690035a-947a-4ec7-8d1c-9c4fd36d35fb,"#N/A",Proposal,5.0
03ae97e6-348c-401d-8473-236fadba9ab5,USD,Q-09128-20190328-0602,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",550000.0,0153h000001A8lGAAS,false,a0l1I00000CO93RQAT_1,2073505.0,550000.0,PDF,Default,3517d51e-2266-473d-aa4a-0e0e95c5513d,e3e1ad7a-2a11-44c7-a4e9-c6b1ab160913,"#N/A",Proposal,1.0
03d8985a-6713-4667-bc42-88d9ed4f3fbf,USD,Q-10915-20190520-1622,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",472325.22,0153h000001A8mxAAC,false,a0l1I00000CS0KMQA1_1,583002.0,472325.22,PDF,Default,3517d51e-2266-473d-aa4a-0e0e95c5513d,ee6dee65-8be0-4e13-98da-0564b4c94609,"#N/A",Proposal,1.0
09b25880-92b4-4b85-a502-ff004f2b63c4,USD,Q-10422-20190507-0713,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",119693.46,0153h000001A8mWAAS,false,a0l1I00000CR0FnQAL_2,139420.0,119693.46,PDF,Default,3517d51e-2266-473d-aa4a-0e0e95c5513d,5acdd8d8-f266-4cd7-8a19-bc7b61453fc9,"#N/A",Proposal,2.0
0b04d86d-01b3-4f26-b7fe-af4ea5c639de,USD,Q-08866-20190319-0524,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",76396.0,0153h000001A8lyAAC,false,a0l1I00000A2oA5QAJ_1,88397.0,76396.0,PDF,Default,3517d51e-2266-473d-aa4a-0e0e95c5513d,add5311d-bc17-4480-8c23-e480d947baf7,"#N/A",Proposal,1.0
0b3998df-e626-4b48-abc6-c65c79f907cf,USD,Q-10715-20190513-1523,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",330000.0,0153h000001A8mjAAC,false,a0l1I00000CRVmPQAX_3,357080.0,330000.0,PDF,Default,3517d51e-2266-473d-aa4a-0e0e95c5513d,4690035a-947a-4ec7-8d1c-9c4fd36d35fb,"#N/A",Proposal,3.0
0c08e2bf-3ab6-4bd2-bca9-f856fe387bf5,USD,Q-10717-20190513-1722,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",151510.57,0153h000001A8mnAAC,false,a0l1I00000CRXJ5QAP_1,170561.0,151510.57,PDF,Default,3517d51e-2266-473d-aa4a-0e0e95c5513d,bb4311dc-352f-4adb-a163-4c8aef72ab87,"#N/A",Proposal,1.0
0c7f6ae4-e00d-476b-8563-6650053df58c,USD,Q-11507-20190606-0904,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,0153h000001A8mRAAS,false,a0l1I0000084tFeQAI_1,1.0,0.0,PDF,Default,3517d51e-2266-473d-aa4a-0e0e95c5513d,003c150f-a8a4-453a-ae20-dbd6fe4a4678,"#N/A",Proposal,1.0
0d7f9eac-52ea-44d1-99c6-1f282a15dfbe,USD,Q-10422-20190507-0706,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",119693.46,0153h000001A8mVAAS,false,a0l1I00000CR0FnQAL_1,139420.0,119693.46,PDF,Default,3517d51e-2266-473d-aa4a-0e0e95c5513d,5acdd8d8-f266-4cd7-8a19-bc7b61453fc9,"#N/A",Proposal,1.0
163f1ec1-ea49-4885-a4b3-93113bc73e9f,USD,Q-11210-20190527-1752,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",159198.0,0153h000001A8mDAAS,false,a0l1I00000845GnQAI_1,285201.0,159198.0,PDF,Default,3517d51e-2266-473d-aa4a-0e0e95c5513d,f01ab6a3-4d8c-4457-985b-c55ff20d3edb,"#N/A",Proposal,1.0
