"Guid","CurrencyIsoCode","Name","SBQQ__AggregateField__c","SBQQ__AggregateFunction__c","SBQQ__CombineWith__c","SBQQ__CompositeOperator__c","SBQQ__ConstraintField__c","SBQQ__FilterField__c","SBQQ__FilterValue__c","SBQQ__Operator__c","SBQQ__Scope__c","SBQQ__TargetObject__c","SBQQ__ValueElement__c"
04d076f1-bd4a-4433-9003-81c3cabfcd1e,USD,Windows Servers,Quantity,Sum,"#N/A","#N/A","#N/A",Product Code,WIN,contains,Quote,Product Option,"#N/A"
04ecdeee-a1ae-4738-8337-4944c9298812,USD,Subs,Quantity,Sum,"#N/A","#N/A","#N/A",SBQQ__DefaultSubscriptionTerm__c,0,greater than,Quote,Quote Line,"#N/A"
1a39ab2c-6bed-4f62-9e03-13b6461e13d0,USD,Threat Intelligence Count,Quantity,Sum,"#N/A","#N/A","#N/A",Product Code,SM-002,equals,Quote,Product Option,"#N/A"
35b200c5-61d7-422c-8fc2-9d8dea9cd918,USD,Count C13-14 PDU,Quantity,Sum,"#N/A","#N/A","#N/A",SBQQ__ProductName__c,C13 output,contains,Quote,Product Option,"#N/A"
3af55943-e41b-4bfd-825e-9476a5cb96aa,USD,Count C19-20 PDU,Quantity,Sum,"#N/A","#N/A","#N/A",SBQQ__ProductName__c,230V C20 input C1,contains,Quote,Product Option,"#N/A"
3e7e403e-7fea-41be-9f25-fe513a32ae60,USD,Roof Fan Tray 740mm - 208V Count,Quantity,Count,"#N/A","#N/A","#N/A",Product Code,BSSA-4308,equals,Quote,Product Option,"#N/A"
593804fb-6e28-48a3-9cd1-34fb3df4b79d,USD,"Rack PDU 30A, 120V L5-20 input 5-20 output Count",Quantity,Count,"#N/A","#N/A","#N/A",Product Code,PDU-2023,equals,Quote,Product Option,"#N/A"
66a5835a-0fc9-48d2-a992-0d1bb0955a60,USD,Count of Software Maint,Quantity,Count,"#N/A","#N/A","#N/A",Product Code,SUPP-2000,equals,Quote,Product Option,"#N/A"
70dcd842-3e2c-44d0-9531-357dda9bd308,USD,Us for non-servers (plus servers)(total),Quantity,Sum,ba6418e6-4974-465f-b8a4-bd97bde73691,Add,"#N/A",UsPerUnit__c,1,equals,Quote,Product Option,"#N/A"
75a1a949-87ac-403d-a08b-dae0c4c11892,USD,Count of SSO Admin Training,Quantity,Sum,"#N/A","#N/A","#N/A",Product Code,S-SSO-ADTR,equals,Quote,Product Option,"#N/A"
86ba5997-a8f5-4274-be14-3e8530bab2e4,USD,Count of Software Maint,Quantity,Count,"#N/A","#N/A","#N/A",Product Code,SUPP-2000,equals,Quote,Product Option,"#N/A"
8f44bedd-b7fe-42b4-a541-440862cfcf0b,USD,Count MaxShell 6U,Quantity,Sum,"#N/A","#N/A","#N/A",Product Code,BMX-1051,equals,Quote,Product Option,"#N/A"
92061cda-356a-4bf8-ae81-7546f5f43ded,USD,Count Server Products,Quantity,Count,"#N/A","#N/A","#N/A",Product Code,SS-00,contains,Quote,Product Option,"#N/A"
9ade8460-b38f-434c-afda-da784d4e23a3,USD,Sum of Software,Quantity,Sum,"#N/A","#N/A","#N/A",Product Family,Software,equals,Quote,Product Option,"#N/A"
9b193617-c53a-4685-a68d-7dc4467db3c1,USD,DLP Prevent Count,Quantity,Sum,"#N/A","#N/A","#N/A",Product Code,DP-008,equals,Quote,Product Option,"#N/A"
ba6418e6-4974-465f-b8a4-bd97bde73691,USD,Us for Servers,Quantity,Sum,"#N/A",Multiply,"#N/A",Product Code,PS-R750,equals,Quote,Product Option,2.0
bbea4539-814b-414b-9591-e5b87002dc7e,USD,Windows Datacenter - Total Count,Quantity,Count,e2c0b160-d35f-4455-86ed-c05ef06af301,Add,"#N/A",Product Code,WIN SDATA-M,equals,Quote,Product Option,"#N/A"
c05e5125-c78a-40df-82bf-b5dd4c8e50c0,USD,Count of SSO Reporting Licenses,Quantity,Sum,"#N/A","#N/A","#N/A",Product Code,S-SSO-REP,equals,Quote,Product Option,"#N/A"
c2e8cea8-f0ef-464a-a888-3346d2934c99,USD,"Rack PDU 20A, 120V L5-20 input 5-20 output Count",Quantity,Count,"#N/A","#N/A","#N/A",Product Code,PDU-2022,equals,Quote,Product Option,"#N/A"
c9d48a50-7c70-4f39-b572-fe3d1eec3f7a,USD,Count L5-20 PDU,Quantity,Sum,"#N/A","#N/A","#N/A",SBQQ__ProductName__c,120V L5-20,contains,Quote,Product Option,"#N/A"
d4d7d877-35fa-4d06-98ab-988afd245ba2,USD,Number of Complete Threat Solutions,Quantity,Sum,"#N/A","#N/A","#N/A",Product Code,EP-0001,equals,Quote,Quote Line,"#N/A"
e2c0b160-d35f-4455-86ed-c05ef06af301,USD,Windows Datacenter - Onetime  Count,Quantity,Count,"#N/A","#N/A","#N/A",Product Code,WIN SDATA-OT,equals,Quote,Product Option,"#N/A"
ea56003c-005d-419a-bbe6-06f1e8a91431,USD,Count MaxShell 8U,Quantity,Sum,"#N/A","#N/A","#N/A",Product Code,BMX-1050,equals,Quote,Product Option,"#N/A"
